Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1975","1975","ha","1962000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1976","1976","ha","1395600","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1977","1977","ha","1624000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1978","1978","ha","1803000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1979","1979","ha","1995000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1980","1980","ha","1753600","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1981","1981","ha","1569000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1982","1982","ha","1646000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1983","1983","ha","1684000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1984","1984","ha","1743000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1985","1985","ha","1887000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1986","1986","ha","1889000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1987","1987","ha","1744000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1988","1988","ha","2020100","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1989","1989","ha","1942400","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1990","1990","ha","1561900","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1991","1991","ha","1756223","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1992","1992","ha","1857189","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1993","1993","ha","1829800","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1994","1994","ha","1643467","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1995","1995","ha","1630416","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1996","1996","ha","1707552","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1997","1997","ha","1824033","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1998","1998","ha","1761004","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","1999","1999","ha","1715168","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2000","2000","ha","1764767","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2001","2001","ha","1915822","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2002","2002","ha","1829333","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2003","2003","ha","1684639","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2004","2004","ha","1821419","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2005","2005","ha","1658529","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2006","2006","ha","1503619","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2007","2007","ha","1529775","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2008","2008","ha","1757438","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2009","2009","ha","1744416","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","56","Maize","2010","2010","ha","1582727","","Official data"
